2026-03-01 10:38:51 | INFO | laptopguardian | sample cpu=7.4 ram=86.7 temp=-1.0 risk=2 (warn)
2026-03-01 10:38:56 | INFO | laptopguardian | sample cpu=10.7 ram=86.7 temp=-1.0 risk=2 (warn)
2026-03-01 10:39:02 | INFO | laptopguardian | sample cpu=6.9 ram=86.0 temp=-1.0 risk=1 (warn)
2026-03-01 10:39:07 | INFO | laptopguardian | sample cpu=7.3 ram=86.2 temp=-1.0 risk=1 (warn)
2026-03-01 10:39:12 | INFO | laptopguardian | sample cpu=9.3 ram=86.1 temp=-1.0 risk=1 (warn)
2026-03-01 10:39:17 | INFO | laptopguardian | sample cpu=11.9 ram=86.1 temp=-1.0 risk=1 (warn)
2026-03-01 10:39:22 | INFO | laptopguardian | sample cpu=4.7 ram=86.2 temp=-1.0 risk=1 (warn)
2026-03-01 10:39:28 | INFO | laptopguardian | sample cpu=5.1 ram=86.0 temp=-1.0 risk=1 (warn)
2026-03-01 10:39:33 | INFO | laptopguardian | sample cpu=3.1 ram=86.1 temp=-1.0 risk=1 (warn)
2026-03-01 10:39:38 | INFO | laptopguardian | sample cpu=10.5 ram=86.1 temp=-1.0 risk=1 (warn)
2026-03-01 10:39:43 | INFO | laptopguardian | sample cpu=1.9 ram=86.2 temp=-1.0 risk=1 (warn)
2026-03-01 10:39:48 | INFO | laptopguardian | sample cpu=3.5 ram=86.2 temp=-1.0 risk=1 (warn)
2026-03-01 10:39:53 | INFO | laptopguardian | sample cpu=2.7 ram=86.1 temp=-1.0 risk=1 (warn)
2026-03-01 10:39:59 | INFO | laptopguardian | sample cpu=4.2 ram=86.6 temp=-1.0 risk=2 (warn)
2026-03-01 10:40:04 | INFO | laptopguardian | sample cpu=6.8 ram=86.7 temp=-1.0 risk=2 (warn)
2026-03-01 10:40:09 | INFO | laptopguardian | sample cpu=10.1 ram=86.8 temp=-1.0 risk=2 (warn)
2026-03-01 10:40:14 | INFO | laptopguardian | sample cpu=10.9 ram=86.8 temp=-1.0 risk=2 (warn)
2026-03-01 10:40:20 | INFO | laptopguardian | sample cpu=7.9 ram=86.6 temp=-1.0 risk=2 (warn)
2026-03-01 10:40:25 | INFO | laptopguardian | sample cpu=10.5 ram=86.6 temp=-1.0 risk=2 (warn)
2026-03-01 10:40:30 | INFO | laptopguardian | sample cpu=1.9 ram=86.3 temp=-1.0 risk=1 (warn)
2026-03-01 10:40:35 | INFO | laptopguardian | sample cpu=8.2 ram=86.4 temp=-1.0 risk=1 (warn)
2026-03-01 10:40:40 | INFO | laptopguardian | sample cpu=10.9 ram=86.7 temp=-1.0 risk=2 (warn)
2026-03-01 10:40:49 | INFO | laptopguardian | sample cpu=53.2 ram=88.0 temp=-1.0 risk=3 (warn)
2026-03-01 10:40:54 | INFO | laptopguardian | sample cpu=22.6 ram=83.5 temp=-1.0 risk=0 (normal)
2026-03-01 10:41:00 | INFO | laptopguardian | sample cpu=15.9 ram=83.2 temp=-1.0 risk=0 (normal)
2026-03-01 10:41:05 | INFO | laptopguardian | sample cpu=16.0 ram=83.0 temp=-1.0 risk=0 (normal)
2026-03-01 10:41:11 | INFO | laptopguardian | sample cpu=10.4 ram=82.5 temp=-1.0 risk=0 (normal)
2026-03-01 10:41:16 | INFO | laptopguardian | sample cpu=7.4 ram=82.5 temp=-1.0 risk=0 (normal)
2026-03-01 10:41:21 | INFO | laptopguardian | sample cpu=8.7 ram=82.3 temp=-1.0 risk=0 (normal)
2026-03-01 10:41:26 | INFO | laptopguardian | sample cpu=10.9 ram=82.4 temp=-1.0 risk=0 (normal)
2026-03-01 10:41:32 | INFO | laptopguardian | sample cpu=11.1 ram=82.4 temp=-1.0 risk=0 (normal)
2026-03-01 10:41:37 | INFO | laptopguardian | sample cpu=12.2 ram=82.5 temp=-1.0 risk=0 (normal)
2026-03-01 10:41:42 | INFO | laptopguardian | sample cpu=9.0 ram=82.4 temp=-1.0 risk=0 (normal)
2026-03-01 10:41:48 | INFO | laptopguardian | sample cpu=3.6 ram=82.3 temp=-1.0 risk=0 (normal)
2026-03-01 10:41:53 | INFO | laptopguardian | sample cpu=14.7 ram=82.4 temp=-1.0 risk=0 (normal)
2026-03-01 10:41:58 | INFO | laptopguardian | sample cpu=9.5 ram=82.3 temp=-1.0 risk=0 (normal)
2026-03-01 10:42:04 | INFO | laptopguardian | sample cpu=11.2 ram=82.2 temp=-1.0 risk=0 (normal)
2026-03-01 10:42:09 | INFO | laptopguardian | sample cpu=11.5 ram=82.2 temp=-1.0 risk=0 (normal)
2026-03-01 10:42:14 | INFO | laptopguardian | sample cpu=15.3 ram=82.3 temp=-1.0 risk=0 (normal)
2026-03-01 10:42:20 | INFO | laptopguardian | sample cpu=13.8 ram=82.4 temp=-1.0 risk=0 (normal)
2026-03-01 10:42:25 | INFO | laptopguardian | sample cpu=7.8 ram=81.7 temp=-1.0 risk=0 (normal)
2026-03-01 10:42:30 | INFO | laptopguardian | sample cpu=14.2 ram=81.8 temp=-1.0 risk=0 (normal)
2026-03-01 10:42:36 | INFO | laptopguardian | sample cpu=11.5 ram=81.8 temp=-1.0 risk=0 (normal)
2026-03-01 10:42:41 | INFO | laptopguardian | sample cpu=12.8 ram=81.8 temp=-1.0 risk=0 (normal)
2026-03-01 10:42:46 | INFO | laptopguardian | sample cpu=20.6 ram=81.8 temp=-1.0 risk=0 (normal)
